No;Kecamatan;Kelurahan;Nomor;Kepala Lingkungan 
1;MEDAN AMPLAS;AMPLAS;I;MEDAN AMPLAS-AMPLAS-I
2;MEDAN AMPLAS;AMPLAS;II;MEDAN AMPLAS-AMPLAS-II
3;MEDAN AMPLAS;AMPLAS;III;MEDAN AMPLAS-AMPLAS-III
4;MEDAN AMPLAS;AMPLAS;IV;MEDAN AMPLAS-AMPLAS-IV
5;MEDAN AMPLAS;AMPLAS;V;MEDAN AMPLAS-AMPLAS-V
6;MEDAN AMPLAS;AMPLAS;VI;MEDAN AMPLAS-AMPLAS-VI
7;MEDAN AMPLAS;BANGUN MULIA;I;MEDAN AMPLAS-BANGUN MULIA-I
8;MEDAN AMPLAS;BANGUN MULIA;II;MEDAN AMPLAS-BANGUN MULIA-II
9;MEDAN AMPLAS;BANGUN MULIA;III;MEDAN AMPLAS-BANGUN MULIA-III
10;MEDAN AMPLAS;BANGUN MULIA;IV;MEDAN AMPLAS-BANGUN MULIA-IV
11;MEDAN AMPLAS;HARJOSARI I;I;MEDAN AMPLAS-HARJOSARI I-I
12;MEDAN AMPLAS;HARJOSARI I;II;MEDAN AMPLAS-HARJOSARI I-II
13;MEDAN AMPLAS;HARJOSARI I;III;MEDAN AMPLAS-HARJOSARI I-III
14;MEDAN AMPLAS;HARJOSARI I;IV;MEDAN AMPLAS-HARJOSARI I-IV
15;MEDAN AMPLAS;HARJOSARI I;IX;MEDAN AMPLAS-HARJOSARI I-IX
16;MEDAN AMPLAS;HARJOSARI I;V;MEDAN AMPLAS-HARJOSARI I-V
17;MEDAN AMPLAS;HARJOSARI I;VI;MEDAN AMPLAS-HARJOSARI I-VI
18;MEDAN AMPLAS;HARJOSARI I;VII;MEDAN AMPLAS-HARJOSARI I-VII
19;MEDAN AMPLAS;HARJOSARI I;VIII;MEDAN AMPLAS-HARJOSARI I-VIII
20;MEDAN AMPLAS;HARJOSARI I;X;MEDAN AMPLAS-HARJOSARI I-X
21;MEDAN AMPLAS;HARJOSARI I;XI;MEDAN AMPLAS-HARJOSARI I-XI
22;MEDAN AMPLAS;HARJOSARI I;XII;MEDAN AMPLAS-HARJOSARI I-XII
23;MEDAN AMPLAS;HARJOSARI I;XIII;MEDAN AMPLAS-HARJOSARI I-XIII
24;MEDAN AMPLAS;HARJOSARI I;XIV;MEDAN AMPLAS-HARJOSARI I-XIV
25;MEDAN AMPLAS;HARJOSARI II;I;MEDAN AMPLAS-HARJOSARI II-I
26;MEDAN AMPLAS;HARJOSARI II;II;MEDAN AMPLAS-HARJOSARI II-II
27;MEDAN AMPLAS;HARJOSARI II;III;MEDAN AMPLAS-HARJOSARI II-III
28;MEDAN AMPLAS;HARJOSARI II;IV;MEDAN AMPLAS-HARJOSARI II-IV
29;MEDAN AMPLAS;HARJOSARI II;IX;MEDAN AMPLAS-HARJOSARI II-IX
30;MEDAN AMPLAS;HARJOSARI II;V;MEDAN AMPLAS-HARJOSARI II-V
31;MEDAN AMPLAS;HARJOSARI II;VI;MEDAN AMPLAS-HARJOSARI II-VI
32;MEDAN AMPLAS;HARJOSARI II;VII;MEDAN AMPLAS-HARJOSARI II-VII
33;MEDAN AMPLAS;HARJOSARI II;VIII;MEDAN AMPLAS-HARJOSARI II-VIII
34;MEDAN AMPLAS;HARJOSARI II;X;MEDAN AMPLAS-HARJOSARI II-X
35;MEDAN AMPLAS;HARJOSARI II;XI;MEDAN AMPLAS-HARJOSARI II-XI
36;MEDAN AMPLAS;HARJOSARI II;XII;MEDAN AMPLAS-HARJOSARI II-XII
37;MEDAN AMPLAS;HARJOSARI II;XIII;MEDAN AMPLAS-HARJOSARI II-XIII
38;MEDAN AMPLAS;HARJOSARI II;XIV;MEDAN AMPLAS-HARJOSARI II-XIV
39;MEDAN AMPLAS;HARJOSARI II;XV;MEDAN AMPLAS-HARJOSARI II-XV
40;MEDAN AMPLAS;HARJOSARI II;XVI;MEDAN AMPLAS-HARJOSARI II-XVI
41;MEDAN AMPLAS;HARJOSARI II;XVII;MEDAN AMPLAS-HARJOSARI II-XVII
42;MEDAN AMPLAS;SITIREJO II;I;MEDAN AMPLAS-SITIREJO II-I
43;MEDAN AMPLAS;SITIREJO II;II;MEDAN AMPLAS-SITIREJO II-II
44;MEDAN AMPLAS;SITIREJO II;III;MEDAN AMPLAS-SITIREJO II-III
45;MEDAN AMPLAS;SITIREJO II;IV;MEDAN AMPLAS-SITIREJO II-IV
46;MEDAN AMPLAS;SITIREJO II;IX;MEDAN AMPLAS-SITIREJO II-IX
47;MEDAN AMPLAS;SITIREJO II;V;MEDAN AMPLAS-SITIREJO II-V
48;MEDAN AMPLAS;SITIREJO II;VI;MEDAN AMPLAS-SITIREJO II-VI
49;MEDAN AMPLAS;SITIREJO II;VII;MEDAN AMPLAS-SITIREJO II-VII
50;MEDAN AMPLAS;SITIREJO II;VIII;MEDAN AMPLAS-SITIREJO II-VIII
51;MEDAN AMPLAS;SITIREJO II;X;MEDAN AMPLAS-SITIREJO II-X
52;MEDAN AMPLAS;SITIREJO II;XI;MEDAN AMPLAS-SITIREJO II-XI
53;MEDAN AMPLAS;SITIREJO II;XII;MEDAN AMPLAS-SITIREJO II-XII
54;MEDAN AMPLAS;SITIREJO III;I;MEDAN AMPLAS-SITIREJO III-I
55;MEDAN AMPLAS;SITIREJO III;II;MEDAN AMPLAS-SITIREJO III-II
56;MEDAN AMPLAS;SITIREJO III;III;MEDAN AMPLAS-SITIREJO III-III
57;MEDAN AMPLAS;SITIREJO III;IV;MEDAN AMPLAS-SITIREJO III-IV
58;MEDAN AMPLAS;SITIREJO III;IX;MEDAN AMPLAS-SITIREJO III-IX
59;MEDAN AMPLAS;SITIREJO III;V;MEDAN AMPLAS-SITIREJO III-V
60;MEDAN AMPLAS;SITIREJO III;VI;MEDAN AMPLAS-SITIREJO III-VI
